method,initial points,goal 1,goal 2,goal 3,goal 4,points to find,rounds
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,328
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,113
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,287
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,34
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,136
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,434
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,256
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,109
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,188
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,262
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,83
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,245
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,569
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,25
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,46
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,329
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,297
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,106
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,164
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,249
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,200
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,556
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,195
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,97
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,336
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,67
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,491
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,221
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,292
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,483
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,493
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,159
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,119
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,656
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,227
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,453
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,117
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,364
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,206
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,197
Jackknife,32,ZT > 12.5,Seebeck coefficient (uV/K) > 1.75,Power factor (W*m/K^2) > 50.0,Thermal conductivity (W/(m*K)) > 1.5,1,96
